Date,Open,High,Low,Close,Adj Close,Volume
2003-03-03,1.002418,1.002418,0.990156,0.996287,0.030505,472718
2003-03-04,0.997054,1.003185,0.993222,0.995521,0.030482,460609
2003-03-05,0.996287,1.002418,0.992456,0.999353,0.030599,460296
2003-03-06,0.999353,1.003185,0.993222,0.996287,0.030505,453889
2003-03-07,0.996287,0.996287,0.984025,0.987091,0.030224,460870
2003-03-10,0.98096,0.981726,0.977128,0.979427,0.029989,331299
2003-03-11,0.988624,0.988624,0.975595,0.978661,0.029966,457282
2003-03-12,0.988624,0.988624,0.934977,0.977894,0.029942,805741
2003-03-13,1.019279,1.019279,0.974829,0.979427,0.029989,463493
2003-03-14,0.979427,0.979427,0.979427,0.979427,0.029989,0
2003-03-17,0.98096,0.98096,0.973296,0.976362,0.029895,518127
2003-03-18,0.976362,0.976362,0.976362,0.976362,0.029895,0
2003-03-19,0.980194,0.98939,0.965632,0.966399,0.02959,212702
2003-03-20,0.971763,0.980194,0.967165,0.975595,0.029872,453994
2003-03-21,0.987857,0.987857,0.965632,0.977128,0.029919,448670
2003-03-24,0.973296,0.973296,0.957969,0.957969,0.029332,165950
2003-03-25,0.959501,0.959501,0.942641,0.945707,0.028957,143297
2003-03-26,0.957969,0.957969,0.941108,0.946473,0.02898,252826
2003-03-27,0.946473,0.950305,0.942641,0.94494,0.028933,464589
2003-03-28,0.92808,0.951071,0.92808,0.944174,0.02891,453028
2003-03-31,0.945707,0.946473,0.929613,0.941108,0.028816,689675
2003-04-01,0.935744,0.946473,0.934977,0.940342,0.028792,462358
2003-04-02,0.960268,0.960268,0.940342,0.948772,0.02905,477207
2003-04-03,0.957969,0.957969,0.938809,0.945707,0.028957,484044
2003-04-04,0.956436,0.956436,0.938809,0.940342,0.028792,453367
2003-04-07,0.94494,0.951071,0.942641,0.946473,0.02898,455912
2003-04-08,0.942641,0.948006,0.939576,0.939576,0.028769,138965
2003-04-09,0.950305,0.950305,0.937276,0.943407,0.028886,148908
2003-04-10,0.942641,0.944174,0.91965,0.91965,0.028159,150787
